Tarih,Fiyat,Fiyat_Sayisal,Konum,Detaylar,URL
2025-12-14 19:27:12,35.000 TL,35.0,Beşiktaş - Türkali Mahallesi,,https://www.emlakjet.com/ilan/besiktas-abbasaga-parkinda-80m2-21-deniz-manzarali-daire-ceyhun-emlak-18274020
2025-12-14 19:27:12,34.000 TL,34.0,Şişli - Mecidiyeköy Mahallesi,,https://www.emlakjet.com/ilan/esyalicadde-uzeri-mecidiyekoy-meydan-10dk-arakat-duz-ayak-11-18247980
2025-12-14 19:27:12,29.500 TL,29.5,Pendik - Güzelyalı Mahallesi,,https://www.emlakjet.com/ilan/guven-emlaktan-kiralik-31-kapali-garajli-temiz-daire-7931260
2025-12-14 19:27:13,25.000 TL,25.0,Başakşehir - Güvercintepe Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-fatih-caddesinde-21-kiralik-daire-18618790
2025-12-14 19:27:13,20.000 TL,20.0,Sultangazi - Yunus Emre Mahallesi,,https://www.emlakjet.com/ilan/sultangazi-yunus-emre-mah-sahibinden-kiralik-21-daire-sahibi-iletisim-o538-96o-9139-18618762
2025-12-14 19:27:13,60.000 TL,60.0,Büyükçekmece - Pınartepe Mahallesi,,https://www.emlakjet.com/ilan/hilal-konaklarin-da-luks-31-kiralik-bahce-kati-daire-18618759
2025-12-14 19:27:13,20.000 TL,20.0,Pendik - Dumlupınar Mahallesi,,https://www.emlakjet.com/ilan/pendik-dumlupinar-mah-sahibinden-kiralik-21-daire-sahibi-iletisim-o538-96o-9139-18618749
2025-12-14 19:27:13,34.000 TL,34.0,Bahçelievler - Fevzi Çakmak Mahallesi,,https://www.emlakjet.com/ilan/e5-metro-metrobuz-yakini-sifir-11-daire-18618734
2025-12-14 19:27:13,34.000 TL,34.0,Bahçelievler - Yenibosna Merkez Mahallesi,,https://www.emlakjet.com/ilan/yenibosnada-e5-metro-yakini-11-sifir-daire-18618700
2025-12-14 19:27:14,34.000 TL,34.0,Bahçelievler - Çobançeşme Mahallesi,,https://www.emlakjet.com/ilan/memura-kiralik-11-sifir-daire-e5-metro-yakini-18618695
2025-12-14 19:27:14,22.000 TL,22.0,Güngören - Haznedar Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-kiralik-tasinmaya-hazir-21-daire-gungoren-haznedar-mah-18618690
2025-12-14 19:27:15,26.000 TL,26.0,Tuzla - Evliya Çelebi Mahallesi,,https://www.emlakjet.com/ilan/t-r-gayrimenkul-den-evliya-celebi-de-kiralik-31-18618667
2025-12-14 19:27:16,30.000 TL,30.0,Sancaktepe - Fatih Mahallesi,,https://www.emlakjet.com/ilan/t-r-gayrimenkul-den-kiralik-21-dubleks-daire-18618666
2025-12-14 19:27:16,20.000 TL,20.0,Küçükçekmece - Gültepe Mahallesi,,https://www.emlakjet.com/ilan/kucukcekmece-gultepe-mah-sahibinden-kiralik-21-daire-sahibi-iletisim-o538-96o-9139-18618640
2025-12-14 19:27:28,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,Tuzla - Evliya Çelebi Mahallesi,,https://www.emlakjet.com/ilan/t-r-gayrimenkul-den-evliya-celebi-de-kiralik-31-18618667
2025-12-14 19:27:29,20.000 TL,20.0,Bahçelievler - Yenibosna Merkez Mahallesi,,https://www.emlakjet.com/ilan/yenibosna-merkez-mah-sahibinden-kiralik-21-modern-daire-ev-sahibi-iletisim-o538-839-o679-18618612
2025-12-14 19:27:30,35.500 TL,35.5,Ümraniye - Tatlısu Mahallesi,,https://www.emlakjet.com/ilan/site-ozellikli-binada-komple-yenilenmis-genis-balkonlu-firsat-18618566
2025-12-14 19:27:30,18.500 TL,18.5,Esenyurt - Pınar Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-kiralik-18618564
2025-12-14 19:27:30,35.000 TL,35.0,Şişli - Eskişehir Mahallesi,,https://www.emlakjet.com/ilan/sisli-harbiye-cimen-sokakta-full-esyali-21-kiralik-daire-metro-ta-18618541
2025-12-14 19:27:30,30.000 TL,30.0,Kadıköy - Erenköy Mahallesi,,https://www.emlakjet.com/ilan/erenkoy-mah-ev-sahibinden-kiralik-21-daire-daire-sabinin-numarasi-o538-67o-2o-93-18618536
2025-12-14 19:27:31,20.000 TL,20.0,Pendik - Kurtköy Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-merkezi-konumda-21-daire-bu-numarayi-arayin-o538-67o-2o-93-18618511
2025-12-14 19:27:31,22.000 TL,22.0,Üsküdar - Altunizade Mahallesi,,https://www.emlakjet.com/ilan/uskudar-altunizade-mah-sahibinden-kiralik-modern-21-daire-18618497
2025-12-14 19:27:31,20.000 TL,20.0,Sultangazi - Cumhuriyet Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-merkezi-konumda-21-daire-bu-numarayi-arayin-o538-67o-2o-93-18618492
2025-12-14 19:27:31,25.000 TL,25.0,Bağcılar - Göztepe Mahallesi,,https://www.emlakjet.com/ilan/detaylar-aciklamada-18618484
2025-12-14 19:27:32,21.000 TL,21.0,Küçükçekmece - Cumhuriyet Mahallesi,,https://www.emlakjet.com/ilan/kucukcekmece-merkez-21-sahibinden-kiralik-daire-o537-978-69-45-bu-numarayi-arayin-18618468
2025-12-14 19:27:32,30.000 TL,30.0,Bahçelievler - Hürriyet Mahallesi,,https://www.emlakjet.com/ilan/yenibosna-ahmet-yesevi-cad-kiralik-31-18618465
2025-12-14 19:27:32,22.000 TL,22.0,Bakırköy - Şenlikköy Mahallesi,,https://www.emlakjet.com/ilan/bakirkoy-senlikkoy-mah-sahibinden-kiralik-21-yeni-daire-18618462
2025-12-14 19:27:33,27.000 TL,27.0,Maltepe - Küçükyalı Mahallesi,,https://www.emlakjet.com/ilan/kucukyali-mah-aile-binasinda-kiralik-21-daire-o537-978-69-45-bu-numarayi-arayin-18618458
2025-12-14 19:27:33,35.000 TL,35.0,Bakırköy - Osmaniye Mahallesi,,https://www.emlakjet.com/ilan/bakirkoy-osmaniye-gunay-sitesinde-kiralik-daire-18618453
2025-12-14 19:27:33,45.000 TL,45.0,Şişli - Gülbahar Mahallesi,,https://www.emlakjet.com/ilan/sehit-ertugrul-kabatas-cadde-uzerinde-31-daire-18618439
2025-12-14 19:27:33,24.000 TL,24.0,Güngören - Güneştepe Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-kiralik-ev-18618437
2025-12-14 19:27:34,25.000 TL,25.0,Çekmeköy - Soğukpınar Mahallesi,,https://www.emlakjet.com/ilan/cekmekoy-soguk-pinar-mh-21-yuksek-giris-ar-18618331
2025-12-14 19:27:34,45.000 TL,45.0,Ataşehir - Küçükbakkalköy Mahallesi,,https://www.emlakjet.com/ilan/kucukbakkalkoy-kiralik-21-85-m2-kiralik-daire-18618211
2025-12-14 19:27:34,28.000 TL,28.0,Beylikdüzü - Kavaklı Mahallesi,,https://www.emlakjet.com/ilan/kavaklida-kiralik-18618180
2025-12-14 19:27:34,41.000 TL,41.0,Pendik - Sülüntepe Mahallesi,,https://www.emlakjet.com/ilan/pendik-suluntepe-site-ici-iskanli-ara-kat-kiralik-31-daire-18618175
2025-12-14 19:27:45,31.000 TL,31.0,Eyüpsultan - Güzeltepe Mahallesi,,https://www.emlakjet.com/ilan/mislife-tan-guzeltepe-metro-1-dk-kadin-ogrenciye-2-kat-21-85-m2-18618159
2025-12-14 19:27:45,35.000 TL,35.0,Küçükçekmece - İstasyon Mahallesi,,https://www.emlakjet.com/ilan/halkali-divan-residence-havuz-gol-manzaral-tadilatli-bakimli-11-18618062
2025-12-14 19:27:45,67.000 TL,67.0,Küçükçekmece - Halkalı Merkez Mahallesi,,https://www.emlakjet.com/ilan/halkali-merkez-mah-hayat-park-sitesi-bos-bakimli-kiralik-31-18618060
2025-12-14 19:27:45,45.000 TL,45.0,Ümraniye - Mehmet Akif Mahallesi,,https://www.emlakjet.com/ilan/elalmis-caddesine-yakin-kullanisli-3-1-daire-18618055
2025-12-14 19:27:45,12.000 TL,12.0,Esenyurt - Çınar Mahallesi,,https://www.emlakjet.com/ilan/baglarcesmede-kirlik-21-bahce-kati-18618001
2025-12-14 19:27:45,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,Maltepe - İdealtepe Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-kiralik-0501-558-26-69-ev-icin-esimi-arayin-ev-18617871
2025-12-14 19:27:46,32.000 TL,32.0,Esenyurt - Akevler Mahallesi,,https://www.emlakjet.com/ilan/regnum-kiralik-21-buyuk-terasli-esyali-yuksek-kat-daire-18617682
2025-12-14 19:27:46,20.000 TL,20.0,Sultangazi - Esentepe Mahallesi,,https://www.emlakjet.com/ilan/zafer-yapi-gayrimenkulden-kiralik-daire-1-kat-11-75m2-balkonlu-istanbul-sultangazi-esentepe-mahde-18617663
2025-12-14 19:27:46,18.000 TL,18.0,Bağcılar - Mahmutbey Mahallesi,,https://www.emlakjet.com/ilan/mahmutbey-de-kiralik-daire-21-90-m2-kombili-metroya-yakin-18617653
2025-12-14 19:27:46,35.500 TL,35.5,Kağıthane - Harmantepe Mahallesi,,https://www.emlakjet.com/ilan/tuncay-dan-kagithanede-yeni-bina-ful-luks-sifir-esyali-11-daire-18617624
2025-12-14 19:27:46,170.000 TL,170.0,Beykoz - Acarlar Mahallesi,,https://www.emlakjet.com/ilan/mesa-park-orman-2-de-31-ara-katta-on-cephe-bos-daire-18617597
2025-12-14 19:27:46,37.000 TL,37.0,Tuzla - İstasyon Mahallesi,,https://www.emlakjet.com/ilan/tuzla-guzel-konumda-marmaray-istasyonu-yakini-21-kiralik-daire-18617569
2025-12-14 19:27:46,65.000 TL,65.0,Başakşehir - Bahçeşehir 1. Kısım Mahallesi,,https://www.emlakjet.com/ilan/bahcesehir-eston-mahallem-sitesi-temiz-kose-21-kiralik-daire-18617535
2025-12-14 19:27:47,53.000 TL,53.0,Beyoğlu - Cihangir Mahallesi,,https://www.emlakjet.com/ilan/r-one-cihangir-havyar-sokakta-yenilenmis-11-kiralik-daire-eng-18617490
2025-12-14 19:27:47,100.000 TL,100.0,Beyoğlu - Hacımimi Mahallesi,,https://www.emlakjet.com/ilan/beyoglu-furnished-house-for-rent-11-with-balcony-new-building-18617489
2025-12-14 19:27:47,30.000 TL,30.0,Sancaktepe - Sarıgazi Mahallesi,,https://www.emlakjet.com/ilan/sancaktepe-sarigazi-merkezde-esyali-21-feriha-oz-yakini-18617457
2025-12-14 19:27:47,25.000 TL,25.0,Sultanbeyli - Necip Fazıl Mahallesi,,https://www.emlakjet.com/ilan/sultanbeyli-necip-fazil-mahallesinde-temiz-ve-bakimli-kapali-otoparkli-21-kiralik-daire-25-000-tl-18617416
2025-12-14 19:27:47,25.000 TL,25.0,Avcılar - Cihangir Mahallesi,,https://www.emlakjet.com/ilan/avcilar-cihangirde-yeni-binada-21-kiralik-daire-18617397
2025-12-14 19:27:47,4.000.000 TL,,Bahçelievler - Çobançeşme Mahallesi,,https://www.emlakjet.com/ilan/serkan-gayrimenkulden-bahcelievler-cobancesmede-esyali-kiralik-daire-18617376
2025-12-14 19:27:48,56.000 TL,56.0,Avcılar - Üniversite Mahallesi,,https://www.emlakjet.com/ilan/3s-firuze-konaklari-kiralik-21-esyali-manzarali-dubleks-18617334
2025-12-14 19:27:48,33.000 TL,33.0,Küçükçekmece - İnönü Mahallesi,,https://www.emlakjet.com/ilan/inonu-mahallesi-nde-21-sifir-oturuma-hazir-2-kat-kiralik-daire-18617167
2025-12-14 19:27:48,59.000 TL,59.0,Kartal - Yakacık Çarşı Mahallesi,,https://www.emlakjet.com/ilan/hastane-e5-metro-yakini-deniz-manzarali-balkonlu-firsat-31-18617156
2025-12-14 19:27:48,25.000 TL,25.0,Fatih - Ayvansaray Mahallesi,,https://www.emlakjet.com/ilan/fatih-balat-kafelere-yakin-full-yapili-kiralik-1-5-1-18617139
2025-12-14 19:27:48,28.000 TL,28.0,Küçükçekmece - İstasyon Mahallesi,,https://www.emlakjet.com/ilan/real-home-dan-vakifbank-sitesi-21-kiralik-esyali-4-kat-daire-18617087
2025-12-14 19:27:49,30.000 TL,30.0,Tuzla - Yayla Mahallesi,,https://www.emlakjet.com/ilan/sehriyaz-besevler-kiralik-kapali-mutfak-21-landmark-gyh-18617062
2025-12-14 19:27:49,28.000 TL,28.0,Ümraniye - Namık Kemal Mahallesi,,https://www.emlakjet.com/ilan/umraniye-namik-kamal-yunus-emre-caddesi-talatpasa-caddesi-uzerinde-18617019
2025-12-14 19:27:49,35.000 TL,35.0,Üsküdar - Valide-i Atik Mahallesi,,https://www.emlakjet.com/ilan/nobelden-kiralik-21-valide-atik-uskudar-18616978
2025-12-14 19:27:49,16.000 TL,16.0,Esenler - Fatih Mahallesi,,https://www.emlakjet.com/ilan/metropol-emlak-tan-kiralik-daire-fatih-mahallesi-18616956
2025-12-14 19:27:49,58.500 TL,58.5,Ataşehir - Atatürk Mahallesi,,https://www.emlakjet.com/ilan/atasehir-atapark-konutlari-kiralik-21-daire-18616879
2025-12-14 19:27:50,20.000 TL,20.0,Gaziosmanpaşa - Bağlarbaşı Mahallesi,,https://www.emlakjet.com/ilan/gaziosmanpasa-da-kiralik-daire-18616843
2025-12-14 19:27:59,20.000 TL,20.0,Başakşehir - Güvercintepe Mahallesi,,https://www.emlakjet.com/ilan/basaksehir-guvercintepe-kiralik-21-daire-18616710
2025-12-14 19:28:00,32.000 TL,32.0,Başakşehir - Güvercintepe Mahallesi,,https://www.emlakjet.com/ilan/basaksehir-guvercintepe-cadde-on-cephe-31-kiralik-luks-daire-18616708
2025-12-14 19:28:00,16.000 TL,16.0,Esenler - Birlik Mahallesi,,https://www.emlakjet.com/ilan/metropol-emlak-tan-kiralik-daire-birlik-mahallesi-18616649
2025-12-14 19:28:00,15.000 TL,15.0,Pendik - Güzelyalı Mahallesi,,https://www.emlakjet.com/ilan/kiralik-daire-pendik-guzyali-mahallesi-18616614
2025-12-14 19:28:00,23.000 TL,23.0,Pendik - Çınardere Mahallesi,,https://www.emlakjet.com/ilan/pendik-cinardere-mah-ankara-caddesine-yakin-21-genis-daire-18616529
2025-12-14 19:28:00,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,Çekmeköy - Kirazlıdere Mahallesi,,https://www.emlakjet.com/ilan/etna-kandemir-evlerinde-kapali-mutfakli-21-kiralik-daire-18616494
2025-12-14 19:28:00,60.000 TL,60.0,Ataşehir - Yenişehir Mahallesi,,https://www.emlakjet.com/ilan/atasehir-yenisehir-mh-az-katli-genc-binada-balkonlu-ara-kat-31-18616466
2025-12-14 19:28:01,37.000 TL,37.0,Kartal - Topselvi Mahallesi,,https://www.emlakjet.com/ilan/kartal-sifir-binada-21-bos-daire-metroya-yurume-18616417
2025-12-14 19:28:01,37.500 TL,37.5,Sancaktepe - Abdurrahmangazi Mahallesi,,https://www.emlakjet.com/ilan/seeworld-sinpas-metrolife-11-balkonlu-kiralik-metro-life-18616400
2025-12-14 19:28:01,80.000 TL,80.0,Başakşehir - Ziya Gökalp Mahallesi,,https://www.emlakjet.com/ilan/turyap-tan-basaksehir-mavera-comfort-projesi-41-kiralik-daire-18616300
2025-12-14 19:28:01,23.000 TL,23.0,Başakşehir - Güvercintepe Mahallesi,,https://www.emlakjet.com/ilan/kayabasi-kiptas-konutlari-kiralik-21-18616292
2025-12-14 19:28:01,24.000 TL,24.0,Silivri - Mimar Sinan Mahallesi,,https://www.emlakjet.com/ilan/toki-1-etapta-en-ust-blokta-kiralik-daire-18616264
2025-12-14 19:28:02,23.000 TL,23.0,Fatih - Koca Mustafapaşa Mahallesi,,https://www.emlakjet.com/ilan/bora-emlak-tan-kiralik-daire-18616144
2025-12-14 19:28:02,26.500 TL,26.5,Başakşehir - Başakşehir Mahallesi,,https://www.emlakjet.com/ilan/basaksehir-2-etapta-kiralik-daire-bos-ara-kat-18616094
2025-12-14 19:28:02,20.000 TL,20.0,Küçükçekmece - Cumhuriyet Mahallesi,,https://www.emlakjet.com/ilan/tepeustunde-kiralik-bahce-kati-21-daire-18616030
2025-12-14 19:28:02,26.000 TL,26.0,Fatih - Seyyid Ömer Mahallesi,,https://www.emlakjet.com/ilan/destan-066-kucukhamam-uzunyusuf-okulu-civari-3-oda-1-salon-100m2-son-3-kat-kombili-aciklamayi-okuyun-18615910
2025-12-14 19:28:02,12.000 TL,12.0,Esenyurt - Piri Reis Mahallesi,,https://www.emlakjet.com/ilan/ruya-prestij-de-10-esyali-tek-depozito-kiralik-daire-18615909
2025-12-14 19:28:03,17.000 TL,17.0,Esenyurt - Piri Reis Mahallesi,,https://www.emlakjet.com/ilan/ruya-prestij-de-11-esyali-kiralik-daire-18615907
2025-12-14 19:28:03,35.000 TL,35.0,Küçükçekmece - İnönü Mahallesi,,https://www.emlakjet.com/ilan/labina-dan-inonu-mahallesinde-21-3-kat-kiralik-daire-18615863
2025-12-14 19:28:03,25.000 TL,25.0,Sultangazi - Esentepe Mahallesi,,https://www.emlakjet.com/ilan/zafer-yapi-gayrimenkulden-kiralik-daire-3-kat-21-90m2-balkonlu-istanbul-sultangazi-esentepe-mahde-18615776
2025-12-14 19:28:03,43.000 TL,43.0,Üsküdar - Kısıklı Mahallesi,,https://www.emlakjet.com/ilan/kisikli-da-temiz-oturuma-hazir-21-kiralik-daire-18615751
2025-12-14 19:28:04,41.000 TL,41.0,Küçükçekmece - Halkalı Merkez Mahallesi,,https://www.emlakjet.com/ilan/mng-blue-boutique-kiralik-21-guney-cephe-gol-manzarali-18615733
2025-12-14 19:28:04,32.500 TL,32.5,Eyüpsultan - Topçular Mahallesi,,https://www.emlakjet.com/ilan/nef-47-halic-kiralik-11-daire-18615678
2025-12-14 19:28:04,35.000 TL,35.0,Bayrampaşa - Yıldırım Mahallesi,,https://www.emlakjet.com/ilan/ali-fuat-basgil-cad-yildirim-mah-esyali-kiralik-21-daire-18615658
2025-12-14 19:28:04,125.000 TL,125.0,Maltepe - İdealtepe Mahallesi,,https://www.emlakjet.com/ilan/ilke-den-sahilde-marmaray-a-komsu-yeni-binada-210m2-cok-lux-52-18615651
2025-12-14 19:28:05,30.000 TL,30.0,Başakşehir - Altınşehir Mahallesi,,https://www.emlakjet.com/ilan/kiralik-dubleks-iki-aileye-uygun-18615601
2025-12-14 19:28:05,38.000 TL,38.0,Üsküdar - Mimar Sinan Mahallesi,,https://www.emlakjet.com/ilan/tam-merkezde-sifir-binada-asansorlu-terasli-11-70-m2-daire-18615593
2025-12-14 19:28:05,37.000 TL,37.0,Pendik - Kurtköy Mahallesi,,https://www.emlakjet.com/ilan/kurtkoy-optimum-yenisehirde-buyuk-21-kiralik-daire-18615571
2025-12-14 19:28:05,26.000 TL,26.0,Arnavutköy - Arnavutköy Merkez Mahallesi,,https://www.emlakjet.com/ilan/arnavutkoy-merkez-mah-kiralik-31-sifir-daire-18615561
2025-12-14 19:28:05,20.000 TL,20.0,Avcılar - Merkez Mahallesi,,https://www.emlakjet.com/ilan/sezgin-emlaktan-11-60-m2-bahce-kat-1-yas-18615545
2025-12-14 19:28:15,50.000 TL,50.0,Beşiktaş - Yıldız Mahallesi,,https://www.emlakjet.com/ilan/besiktas-ciragan-da-iskeleye-cok-yakin-merkezi-konumda-18615106
2025-12-14 19:28:15,40.000 TL,40.0,Kağıthane - Merkez Mahallesi,,https://www.emlakjet.com/ilan/derin-emlaktan-merkezde-guney-cepheli-havuz-manzarali-luks-ferah-daire-18614974
2025-12-14 19:28:16,18.000 TL,18.0,Bağcılar - Demirkapı Mahallesi,,https://www.emlakjet.com/ilan/kiralik-daire-18614967
2025-12-14 19:28:16,80.000 TL,80.0,Büyükçekmece - Ekinoba Mahallesi,,https://www.emlakjet.com/ilan/buyukcekmece-rose-marine-butik-sitesinde-41-kiralik-daire-18614899
2025-12-14 19:28:16,45.000 TL,45.0,Büyükçekmece - Fatih Mahallesi,,https://www.emlakjet.com/ilan/buyukcekmece-fatih-mahallesi-gul-evleri-kiralik-31-18614898
2025-12-14 19:28:16,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,Kadıköy - Rasimpaşa Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-kiralik-0501-558-26-69-18614852
2025-12-14 19:28:16,75.000 TL,75.0,Kadıköy - Suadiye Mahallesi,,https://www.emlakjet.com/ilan/turyap-koza-dan-21-kiralik-daire-18614762
2025-12-14 19:28:17,"28.000 TL
30.000 TL",,Üsküdar - Selami Ali Mahallesi,,https://www.emlakjet.com/ilan/mulk-sahibinden-0538-239-74-35-arayiniz-18614724
2025-12-14 19:28:17,21.000 TL,21.0,Sancaktepe - Abdurrahmangazi Mahallesi,,https://www.emlakjet.com/ilan/sancaktepe-metroya-yurume-mesf-kiralik-31arakat-daire-18614696
2025-12-14 19:28:17,30.000 TL,30.0,Başakşehir - Başakşehir Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-kiralik-evimiz-0501-605-36-95-esimi-arayin-evicin-18614682
2025-12-14 19:28:17,36.000 TL,36.0,Bahçelievler - Kocasinan Merkez Mahallesi,,https://www.emlakjet.com/ilan/erarslandan-memura-21daire-75m2-y-giris-hastane-arkasi-sakinyer-18614671
2025-12-14 19:28:17,62.000 TL,62.0,Çekmeköy - Mimar Sinan Mahallesi,,https://www.emlakjet.com/ilan/besyildiz-5-etap-sitesi-kiralik-150m2-31-daire-18614630
2025-12-14 19:28:17,"25.000 TL
28.000 TL",,Pendik - Güzelyalı Mahallesi,,https://www.emlakjet.com/ilan/mulk-sahibinden-0538-239-18614610
2025-12-14 19:28:18,"23.000 TL
25.000 TL",,Kartal - Soğanlık Yeni Mahallesi,,https://www.emlakjet.com/ilan/sahibinden-kiralik-0538-239-74-35-arayiniz-18614580
2025-12-14 19:28:18,30.000 TL,30.0,Üsküdar - Ünalan Mahallesi,,https://www.emlakjet.com/ilan/kiralik-31-daire-18614567
2025-12-14 19:28:18,40.000 TL,40.0,Ümraniye - Aşağı Dudullu Mahallesi,,https://www.emlakjet.com/ilan/anka-dan-asagi-dudullu-hamza-yerlikaya-bulvarinda-31-18614525
2025-12-14 19:28:19,23.000 TL,23.0,Bağcılar - Mahmutbey Mahallesi,,https://www.emlakjet.com/ilan/bagcilar-mahmut-beyde-kiralik-31-4-kat-18614492
2025-12-14 19:28:19,34.000 TL,34.0,Kartal - Gümüşpınar Mahallesi,,https://www.emlakjet.com/ilan/kartal-soganlik-gumuspinar-kiralik-arakat-21-18614439
2025-12-14 19:28:19,56.000 TL,56.0,Üsküdar - Kısıklı Mahallesi,,https://www.emlakjet.com/ilan/anka-dan-kisikli-mah-ferah-yasam-alani-devasa-kiralik-31-daire-18614432
2025-12-14 19:28:19,35.000 TL,35.0,Üsküdar - Bulgurlu Mahallesi,,https://www.emlakjet.com/ilan/libadiye-metroya-3-dk-hayatin-merkezinde-modern-sifir-21-18614430
2025-12-14 19:28:19,32.500 TL,32.5,Ümraniye - Cemil Meriç Mahallesi,,https://www.emlakjet.com/ilan/umraniye-cemil-meric-mahallesi-nde-2-1-sifir-ara-kat-kiralik-18614391
2025-12-14 19:28:20,16.000 TL,16.0,Beykoz - Tokatköy Mahallesi,,https://www.emlakjet.com/ilan/beykoz-tokatkoy-bahceli-21-kiralik-daire-18614382
2025-12-14 19:28:20,"23.000 TL
27.000 TL",,Küçükçekmece - Söğütlü Çeşme Mahallesi,,https://www.emlakjet.com/ilan/mulk-sahibinden-0538-236-58-89-18614362
2025-12-14 19:28:20,36.000 TL,36.0,Silivri - Mimar Sinan Mahallesi,,https://www.emlakjet.com/ilan/istanbul-sun-of-silivri-esyali-21-super-daire-18614316
2025-12-14 19:28:21,"22.000 TL
25.000 TL",,Tuzla - Yayla Mahallesi,,https://www.emlakjet.com/ilan/mulk-sahibinden-0538-236-58-89-arayiniz-18614299
2025-12-14 19:28:21,35.000 TL,35.0,Üsküdar - Mehmet Akif Ersoy Mahallesi,,https://www.emlakjet.com/ilan/emlak-konutta-kiralik-11-55-m-modern-acik-mutfakli-daire-18614231
2025-12-14 19:28:21,65.000 TL,65.0,Üsküdar - Mehmet Akif Ersoy Mahallesi,,https://www.emlakjet.com/ilan/21-140-mt2-kiralik-deniz-manzarali-genis-dublex-emlak-konut-18614230
2025-12-14 19:28:21,"28.000 TL
30.000 TL",,Bahçelievler - Soğanlı Mahallesi,,https://www.emlakjet.com/ilan/mulk-sahibinden-0538-236-58-89-arayiniz-18614226
2025-12-14 19:28:33,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,Küçükçekmece - Söğütlü Çeşme Mahallesi,,https://www.emlakjet.com/ilan/mulk-sahibinden-0538-236-58-89-18614362
