Tarih,Fiyat,Fiyat_Sayisal,Konum,Semt,Mahalle,Oda_Sayisi,Kat,Brut_Alan_m2,Detaylar,URL
2025-12-14 21:35:03,25.000 TL,25.0,Fatih - Haseki Sultan Mahallesi,Fatih - Haseki Sultan Mahallesi,,2+1,2,85,"ÖNE ÇIKAN
Fatih Cerrahpaşa Mah. Merkezi Konumda Eşyalı 2+1 Kiralık Daire
Fatih - Haseki Sultan Mahallesi
Daire | 2+1 | 2. Kat | 85 m²
25.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/fatih-cerrahpasa-mah-merkezi-konumda-esyali-21-kiralik-daire-18547071
2025-12-14 21:35:03,18.000 TL,18.0,Sancaktepe - Abdurrahmangazi Mahallesi,Sancaktepe - Abdurrahmangazi Mahallesi,,2+1,1,100,"ÖNE ÇIKAN
2+1 Kiralık Temiz Ferah Daire
Sancaktepe - Abdurrahmangazi Mahallesi
Daire | 2+1 | 1. Kat | 100 m²
18.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/21-kiralik-temiz-ferah-daire-18544452
2025-12-14 21:35:03,115.000 TL,115.0,Sarıyer - Maslak Mahallesi,Sarıyer - Maslak Mahallesi,,3+1,Çatı,220,"ÖNE ÇIKAN
Maslak 1453 3+1 Eşyalı Yüksek Tavan Fırsat Daire
Sarıyer - Maslak Mahallesi
Daire | 3+1 | Kot 1 (-1). Kat | 220 m²
115.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/maslak-1453-31-esyali-yuksek-tavan-firsat-daire-18543816
2025-12-14 21:35:03,55.000 TL,55.0,Sarıyer - Huzur Mahallesi,Sarıyer - Huzur Mahallesi,,1+0,14,55,"ÖNE ÇIKAN
Skyland İstanbul • 1+0 • Yüksek Kat • Temiz – Kiralık
Sarıyer - Huzur Mahallesi
Daire | Stüdyo | 14. Kat | 55 m²
55.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/skyland-istanbul-10-yuksek-kat-temiz-kiralik-18543807
2025-12-14 21:35:04,"35.000 TL
37.500 TL",,Kartal - Hürriyet Mahallesi,Kartal - Hürriyet Mahallesi,,1+1,10,65,"ÖNE ÇIKAN
Selective Evlerinde, 1+1, 65 M2, Eşyalı , Arakat Daire
Kartal - Hürriyet Mahallesi
Daire | 1+1 | 10. Kat | 65 m²
35.000 TL
37.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/selective-evlerinde-11-65-m2-esyali-arakat-daire-18427116
2025-12-14 21:35:04,35.000 TL,35.0,Beşiktaş - Türkali Mahallesi,Beşiktaş - Türkali Mahallesi,,2+1,Zemin,80,"ÖNE ÇIKAN
Beşiktaş Abbasağa Parkında 80m2. 2+1 Deniz Manzaralı Daire Ceyhun® Emlak
Beşiktaş - Türkali Mahallesi
Daire | 2+1 | Yüksek giriş | 80 m²
35.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/besiktas-abbasaga-parkinda-80m2-21-deniz-manzarali-daire-ceyhun-emlak-18274020
2025-12-14 21:35:04,34.000 TL,34.0,Şişli - Mecidiyeköy Mahallesi,Şişli - Mecidiyeköy Mahallesi,,1+1,4,60,"ÖNE ÇIKAN
Eşyalı+cadde Üzeri-mecidiyeköy Meydan 10dk Arakat-düz Ayak 1+1
Şişli - Mecidiyeköy Mahallesi
Daire | 1+1 | 4. Kat | 60 m²
34.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/esyalicadde-uzeri-mecidiyekoy-meydan-10dk-arakat-duz-ayak-11-18247980
2025-12-14 21:35:04,29.500 TL,29.5,Pendik - Güzelyalı Mahallesi,Pendik - Güzelyalı Mahallesi,,3+1,2,115,"ÖNE ÇIKAN
Güven Emlaktan Kiralık 3+1 Kapalı Garajlı Temiz Daire
Pendik - Güzelyalı Mahallesi
Daire | 3+1 | 2. Kat | 115 m²
29.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/guven-emlaktan-kiralik-31-kapali-garajli-temiz-daire-7931260
2025-12-14 21:35:04,29.000 TL,29.0,Pendik - Kavakpınar Mahallesi,Pendik - Kavakpınar Mahallesi,,2+1,7,87,"YENİ
Sahibinden | Pendik Kavakpınar’da Sıfır Binada 2+1 Kiralık Daire
Pendik - Kavakpınar Mahallesi
Daire | 2+1 | 7. Kat | 87 m²
29.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sahibinden-pendik-kavakpinar-da-sifir-binada-21-kiralik-daire-18619250
2025-12-14 21:35:04,26.000 TL,26.0,Sancaktepe - Abdurrahmangazi Mahallesi,Sancaktepe - Abdurrahmangazi Mahallesi,,2+1,3,90,"YENİ
Abdurrahmangazi Mah De6,7 Yıllık ,arakat 2+1
Sancaktepe - Abdurrahmangazi Mahallesi
Daire | 2+1 | 3. Kat | 90 m²
26.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/abdurrahmangazi-mah-de6-7-yillik-arakat-21-18619214
2025-12-14 21:35:04,13.000 TL,13.0,Esenyurt - Çınar Mahallesi,Esenyurt - Çınar Mahallesi,,2+1,Zemin,100,"YENİ
Çınar Mahallesinde Masrafsız Geniş M2 Kiralık Yüksek Giriş Daire
Esenyurt - Çınar Mahallesi
Daire | 2+1 | Yüksek giriş | 100 m²
13.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/cinar-mahallesinde-masrafsiz-genis-m2-kiralik-yuksek-giris-daire-18619176
2025-12-14 21:35:04,15.000 TL,15.0,Esenyurt - Üçevler Mahallesi,Esenyurt - Üçevler Mahallesi,,2+1,,110,"YENİ
Üçevler Mahallesi'nde 2+1 Merkezi Konumda Kiralık Daire
Esenyurt - Üçevler Mahallesi
Daire | 2+1 | Bahçe katı | 110 m²
15.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/ucevler-mahallesi-nde-21-merkezi-konumda-kiralik-daire-18619175
2025-12-14 21:35:05,31.000 TL,31.0,Kartal - Soğanlık Yeni Mahallesi,Kartal - Soğanlık Yeni Mahallesi,,1+1,21,70,"YENİ
Hastane ,adliye ,e5,metro Yanı Uprise Elite Büyük M2 Fırsat 1+1
Kartal - Soğanlık Yeni Mahallesi
Daire | 1+1 | 21. Kat | 70 m²
31.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/hastane-adliye-e5-metro-yani-uprise-elite-buyuk-m2-firsat-11-18619151
2025-12-14 21:35:05,36.000 TL,36.0,Maltepe - Fındıklı Mahallesi,Maltepe - Fındıklı Mahallesi,,3+1,6,155,"YENİ
꧁uğur&uzman꧂fındıklı'da Deniz Manzaralı-asansörlü Kiralık 3+1
Maltepe - Fındıklı Mahallesi
Daire | 3+1 | 6. Kat | 155 m²
36.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/ugur-uzman-findikli-da-deniz-manzarali-asansorlu-kiralik-31-18619101
2025-12-14 21:35:05,55.000 TL,55.0,Maltepe - Küçükyalı Mahallesi,Maltepe - Küçükyalı Mahallesi,,3+1,2,125,"YENİ
꧁uğur&uzman꧂küçükyalı'da Yeni Binada 3+1 Balkonlu Ön Köşe Arakat
Maltepe - Küçükyalı Mahallesi
Daire | 3+1 | 2. Kat | 125 m²
55.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/ugur-uzman-kucukyali-da-yeni-binada-31-balkonlu-on-kose-arakat-18619037
2025-12-14 21:35:05,15.000 TL,15.0,Beyoğlu - Bostan Mahallesi,Beyoğlu - Bostan Mahallesi,,,3,35,"YENİ
Beyoğlu Tarlabaşı Stdyo Eşyalı Kiralık Daire
Beyoğlu - Bostan Mahallesi
Daire | Stüdyo | 3. Kat | 35 m²
15.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/beyoglu-tarlabasi-stdyo-esyali-kiralik-daire-18619007
2025-12-14 21:35:05,13.000 TL,13.0,Sultangazi - Cebeci Mahallesi,Sultangazi - Cebeci Mahallesi,,1+1,,60,"YENİ
Aydın İnş Cebeci Mah 1+1 60m2 Bahçe Kat
Sultangazi - Cebeci Mahallesi
Daire | 1+1 | Bahçe katı | 60 m²
13.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/aydin-ins-cebeci-mah-11-60m2-bahce-kat-18618995
2025-12-14 21:35:05,39.500 TL,39.5,Kartal - Karlıktepe Mahallesi,Kartal - Karlıktepe Mahallesi,,2+1,1,87,"YENİ
Kartal Karlıktepe De Kiralık Daire
Kartal - Karlıktepe Mahallesi
Daire | 2+1 | 1. Kat | 87 m²
39.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/kartal-karliktepe-de-kiralik-daire-18618903
2025-12-14 21:35:05,22.000 TL,22.0,Bağcılar - Kirazlı Mahallesi,Bağcılar - Kirazlı Mahallesi,,3+1,2,120,"YENİ
Bağcılar Kirazlı Mah Sahibinden Kiralık 3+1 Yeni Daire Ev Sahibi İletişim: O538 96o’ 9139 ☎️
Bağcılar - Kirazlı Mahallesi
Daire | 2+1 | 2. Kat | 120 m²
22.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/bagcilar-kirazli-mah-sahibinden-kiralik-31-yeni-daire-ev-sahibi-iletisim-o538-96o-9139-18618885
2025-12-14 21:35:05,"30.000 TL
35.000 TL",,Üsküdar - İcadiye Mahallesi,Üsküdar - İcadiye Mahallesi,,3+1,3,139,"YENİ
Sahibinden Kiralık Evimiz 0501""605""36""95
Üsküdar - İcadiye Mahallesi
Daire | 3+1 | 3. Kat | 139 m²
30.000 TL
35.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sahibinden-kiralik-evimiz-0501-605-36-95-18618851
