Tarih,Fiyat,Fiyat_Sayisal,Fiyat_Per_m2,Semt,Mahalle,Konum,Oda_Sayisi,Brut_Alan_m2,Brut_Alan_m2_Numeric,Kat,Detaylar,URL
2025-12-14 21:35:51,"35.000 TL
37.500 TL",,,Kartal - Hürriyet Mahallesi,,Kartal - Hürriyet Mahallesi,1+1,65,65,10,"ÖNE ÇIKAN
Selective Evlerinde, 1+1, 65 M2, Eşyalı , Arakat Daire
Kartal - Hürriyet Mahallesi
Daire | 1+1 | 10. Kat | 65 m²
35.000 TL
37.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/selective-evlerinde-11-65-m2-esyali-arakat-daire-18427116
2025-12-14 21:35:51,35.000 TL,35.0,0.44,Beşiktaş - Türkali Mahallesi,,Beşiktaş - Türkali Mahallesi,2+1,80,80,Zemin,"ÖNE ÇIKAN
Beşiktaş Abbasağa Parkında 80m2. 2+1 Deniz Manzaralı Daire Ceyhun® Emlak
Beşiktaş - Türkali Mahallesi
Daire | 2+1 | Yüksek giriş | 80 m²
35.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/besiktas-abbasaga-parkinda-80m2-21-deniz-manzarali-daire-ceyhun-emlak-18274020
2025-12-14 21:35:52,34.000 TL,34.0,0.57,Şişli - Mecidiyeköy Mahallesi,,Şişli - Mecidiyeköy Mahallesi,1+1,60,60,4,"ÖNE ÇIKAN
Eşyalı+cadde Üzeri-mecidiyeköy Meydan 10dk Arakat-düz Ayak 1+1
Şişli - Mecidiyeköy Mahallesi
Daire | 1+1 | 4. Kat | 60 m²
34.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/esyalicadde-uzeri-mecidiyekoy-meydan-10dk-arakat-duz-ayak-11-18247980
2025-12-14 21:35:52,29.500 TL,29.5,0.26,Pendik - Güzelyalı Mahallesi,,Pendik - Güzelyalı Mahallesi,3+1,115,115,2,"ÖNE ÇIKAN
Güven Emlaktan Kiralık 3+1 Kapalı Garajlı Temiz Daire
Pendik - Güzelyalı Mahallesi
Daire | 3+1 | 2. Kat | 115 m²
29.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/guven-emlaktan-kiralik-31-kapali-garajli-temiz-daire-7931260
2025-12-14 21:35:52,29.000 TL,29.0,0.33,Pendik - Kavakpınar Mahallesi,,Pendik - Kavakpınar Mahallesi,2+1,87,87,7,"YENİ
Sahibinden | Pendik Kavakpınar’da Sıfır Binada 2+1 Kiralık Daire
Pendik - Kavakpınar Mahallesi
Daire | 2+1 | 7. Kat | 87 m²
29.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sahibinden-pendik-kavakpinar-da-sifir-binada-21-kiralik-daire-18619250
2025-12-14 21:35:52,26.000 TL,26.0,0.29,Sancaktepe - Abdurrahmangazi Mahallesi,,Sancaktepe - Abdurrahmangazi Mahallesi,2+1,90,90,3,"YENİ
Abdurrahmangazi Mah De6,7 Yıllık ,arakat 2+1
Sancaktepe - Abdurrahmangazi Mahallesi
Daire | 2+1 | 3. Kat | 90 m²
26.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/abdurrahmangazi-mah-de6-7-yillik-arakat-21-18619214
2025-12-14 21:35:52,13.000 TL,13.0,0.13,Esenyurt - Çınar Mahallesi,,Esenyurt - Çınar Mahallesi,2+1,100,100,Zemin,"YENİ
Çınar Mahallesinde Masrafsız Geniş M2 Kiralık Yüksek Giriş Daire
Esenyurt - Çınar Mahallesi
Daire | 2+1 | Yüksek giriş | 100 m²
13.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/cinar-mahallesinde-masrafsiz-genis-m2-kiralik-yuksek-giris-daire-18619176
2025-12-14 21:35:53,15.000 TL,15.0,0.14,Esenyurt - Üçevler Mahallesi,,Esenyurt - Üçevler Mahallesi,2+1,110,110,,"YENİ
Üçevler Mahallesi'nde 2+1 Merkezi Konumda Kiralık Daire
Esenyurt - Üçevler Mahallesi
Daire | 2+1 | Bahçe katı | 110 m²
15.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/ucevler-mahallesi-nde-21-merkezi-konumda-kiralik-daire-18619175
2025-12-14 21:35:53,31.000 TL,31.0,0.44,Kartal - Soğanlık Yeni Mahallesi,,Kartal - Soğanlık Yeni Mahallesi,1+1,70,70,21,"YENİ
Hastane ,adliye ,e5,metro Yanı Uprise Elite Büyük M2 Fırsat 1+1
Kartal - Soğanlık Yeni Mahallesi
Daire | 1+1 | 21. Kat | 70 m²
31.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/hastane-adliye-e5-metro-yani-uprise-elite-buyuk-m2-firsat-11-18619151
2025-12-14 21:35:53,36.000 TL,36.0,0.23,Maltepe - Fındıklı Mahallesi,,Maltepe - Fındıklı Mahallesi,3+1,155,155,6,"YENİ
꧁uğur&uzman꧂fındıklı'da Deniz Manzaralı-asansörlü Kiralık 3+1
Maltepe - Fındıklı Mahallesi
Daire | 3+1 | 6. Kat | 155 m²
36.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/ugur-uzman-findikli-da-deniz-manzarali-asansorlu-kiralik-31-18619101
2025-12-14 21:35:53,55.000 TL,55.0,0.44,Maltepe - Küçükyalı Mahallesi,,Maltepe - Küçükyalı Mahallesi,3+1,125,125,2,"YENİ
꧁uğur&uzman꧂küçükyalı'da Yeni Binada 3+1 Balkonlu Ön Köşe Arakat
Maltepe - Küçükyalı Mahallesi
Daire | 3+1 | 2. Kat | 125 m²
55.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/ugur-uzman-kucukyali-da-yeni-binada-31-balkonlu-on-kose-arakat-18619037
2025-12-14 21:35:53,15.000 TL,15.0,0.43,Beyoğlu - Bostan Mahallesi,,Beyoğlu - Bostan Mahallesi,,35,35,3,"YENİ
Beyoğlu Tarlabaşı Stdyo Eşyalı Kiralık Daire
Beyoğlu - Bostan Mahallesi
Daire | Stüdyo | 3. Kat | 35 m²
15.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/beyoglu-tarlabasi-stdyo-esyali-kiralik-daire-18619007
2025-12-14 21:35:54,13.000 TL,13.0,0.22,Sultangazi - Cebeci Mahallesi,,Sultangazi - Cebeci Mahallesi,1+1,60,60,,"YENİ
Aydın İnş Cebeci Mah 1+1 60m2 Bahçe Kat
Sultangazi - Cebeci Mahallesi
Daire | 1+1 | Bahçe katı | 60 m²
13.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/aydin-ins-cebeci-mah-11-60m2-bahce-kat-18618995
2025-12-14 21:35:54,39.500 TL,39.5,0.45,Kartal - Karlıktepe Mahallesi,,Kartal - Karlıktepe Mahallesi,2+1,87,87,1,"YENİ
Kartal Karlıktepe De Kiralık Daire
Kartal - Karlıktepe Mahallesi
Daire | 2+1 | 1. Kat | 87 m²
39.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/kartal-karliktepe-de-kiralik-daire-18618903
2025-12-14 21:35:54,22.000 TL,22.0,0.18,Bağcılar - Kirazlı Mahallesi,,Bağcılar - Kirazlı Mahallesi,3+1,120,120,2,"YENİ
Bağcılar Kirazlı Mah Sahibinden Kiralık 3+1 Yeni Daire Ev Sahibi İletişim: O538 96o’ 9139 ☎️
Bağcılar - Kirazlı Mahallesi
Daire | 2+1 | 2. Kat | 120 m²
22.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/bagcilar-kirazli-mah-sahibinden-kiralik-31-yeni-daire-ev-sahibi-iletisim-o538-96o-9139-18618885
2025-12-14 21:35:54,"30.000 TL
35.000 TL",,,Üsküdar - İcadiye Mahallesi,,Üsküdar - İcadiye Mahallesi,3+1,139,139,3,"YENİ
Sahibinden Kiralık Evimiz 0501""605""36""95
Üsküdar - İcadiye Mahallesi
Daire | 3+1 | 3. Kat | 139 m²
30.000 TL
35.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sahibinden-kiralik-evimiz-0501-605-36-95-18618851
2025-12-14 21:36:04,21.000 TL,21.0,0.17,Küçükçekmece - Cumhuriyet Mahallesi,,Küçükçekmece - Cumhuriyet Mahallesi,2+1,120,120,2,"YENİ
Küçükçekmece Merkez 2+1 Sahibinden Kiralık Daire (o537 978' 69 45 Bu Numarayı Arayın)
Küçükçekmece - Cumhuriyet Mahallesi
Daire | 2+1 | 2. Kat | 120 m²
21.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/kucukcekmece-merkez-21-sahibinden-kiralik-daire-o537-978-69-45-bu-numarayi-arayin-18618468
2025-12-14 21:36:04,30.000 TL,30.0,0.24,Bahçelievler - Hürriyet Mahallesi,,Bahçelievler - Hürriyet Mahallesi,3+1,125,125,5,"YENİ
Yenibosna Ahmet Yesevı Cad Kiralık 3+1
Bahçelievler - Hürriyet Mahallesi
Daire | 3+1 | 5. Kat | 125 m²
30.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/yenibosna-ahmet-yesevi-cad-kiralik-31-18618465
2025-12-14 21:36:04,22.000 TL,22.0,0.2,Bakırköy - Şenlikköy Mahallesi,,Bakırköy - Şenlikköy Mahallesi,2+1,110,110,2,"YENİ
📌 Bakırköy Şenlikköy Mah Sahibinden Kiralık 2+1 Yeni Daire 📌
Bakırköy - Şenlikköy Mahallesi
Daire | 2+1 | 2. Kat | 110 m²
22.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/bakirkoy-senlikkoy-mah-sahibinden-kiralik-21-yeni-daire-18618462
2025-12-14 21:36:04,27.000 TL,27.0,0.23,Maltepe - Küçükyalı Mahallesi,,Maltepe - Küçükyalı Mahallesi,2+1,120,120,2,"Aramanıza uygun yeni bir ilan yayınlandığında ilk sizin haberiniz olsun.
Aramayı Kaydet
YENİ
Küçükyalı Mah. Aile Binasında Kiralık 2+1 Daire 📱 O537 978' 69 45 Bu Numarayı Arayın
Maltepe - Küçükyalı Mahallesi
Daire | 2+1 | 2. Kat | 120 m²
27.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/kucukyali-mah-aile-binasinda-kiralik-21-daire-o537-978-69-45-bu-numarayi-arayin-18618458
2025-12-14 21:36:04,35.000 TL,35.0,0.3,Bakırköy - Osmaniye Mahallesi,,Bakırköy - Osmaniye Mahallesi,3+1,115,115,5,"YENİ
Bakırköy Osmaniye Günay Sitesinde Kiralık Daire
Bakırköy - Osmaniye Mahallesi
Daire | 3+1 | 5. Kat | 115 m²
35.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/bakirkoy-osmaniye-gunay-sitesinde-kiralik-daire-18618453
2025-12-14 21:36:05,İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL,32.0,0.25,Şişli - Gülbahar Mahallesi,,Şişli - Gülbahar Mahallesi,3+1,130,130,3,"İstanbul ilindeki ortalama kiralık ev fiyatı: 32 Bin TL
Bölge Raporunu İncele
YENİ
Şehit Ertuğrul Kabataş Cadde Üzerinde 3+1 Daire
Şişli - Gülbahar Mahallesi
Daire | 3+1 | 3. Kat | 130 m²
45.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sehit-ertugrul-kabatas-cadde-uzerinde-31-daire-18618439
2025-12-14 21:36:05,24.000 TL,24.0,0.17,Güngören - Güneştepe Mahallesi,,Güngören - Güneştepe Mahallesi,3+1,139,139,3,"YENİ
Sahibinden Kiralık Ev
Güngören - Güneştepe Mahallesi
Daire | 3+1 | 3. Kat | 139 m²
24.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sahibinden-kiralik-ev-18618437
2025-12-14 21:36:05,25.000 TL,25.0,0.23,Çekmeköy - Soğukpınar Mahallesi,,Çekmeköy - Soğukpınar Mahallesi,2+1,110,110,1,"YENİ
Çekmeköy Soğuk Pınar Mh 2+1 Yüksek Giriş Ar
Çekmeköy - Soğukpınar Mahallesi
Daire | 2+1 | 1. Kat | 110 m²
25.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/cekmekoy-soguk-pinar-mh-21-yuksek-giris-ar-18618331
2025-12-14 21:36:05,45.000 TL,45.0,0.53,Ataşehir - Küçükbakkalköy Mahallesi,,Ataşehir - Küçükbakkalköy Mahallesi,2+1,85,85,7,"YENİ
Küçükbakkalköy Kiralık 2+1 85 M2 Kiralık Daire
Ataşehir - Küçükbakkalköy Mahallesi
Daire | 2+1 | 7. Kat | 85 m²
45.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/kucukbakkalkoy-kiralik-21-85-m2-kiralik-daire-18618211
2025-12-14 21:36:05,28.000 TL,28.0,0.28,Beylikdüzü - Kavaklı Mahallesi,,Beylikdüzü - Kavaklı Mahallesi,2+1,100,100,1,"YENİ
Kavaklida Kiralik
Beylikdüzü - Kavaklı Mahallesi
Daire | 2+1 | 1. Kat | 100 m²
28.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/kavaklida-kiralik-18618180
2025-12-14 21:36:06,41.000 TL,41.0,0.36,Pendik - Sülüntepe Mahallesi,,Pendik - Sülüntepe Mahallesi,3+1,115,115,5,"YENİ
Pendik Sülüntepe Site İçi İskanlı Ara Kat Kiralık 3+1 Daire
Pendik - Sülüntepe Mahallesi
Daire | 3+1 | 5. Kat | 115 m²
41.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/pendik-suluntepe-site-ici-iskanli-ara-kat-kiralik-31-daire-18618175
2025-12-14 21:36:06,31.000 TL,31.0,0.36,Eyüpsultan - Güzeltepe Mahallesi,,Eyüpsultan - Güzeltepe Mahallesi,2+1,85,85,2,"YENİ
Mislife'tan Güzeltepe Metro 1 Dk Kadın Öğrenciye 2.kat 2+1 85 M2
Eyüpsultan - Güzeltepe Mahallesi
Daire | 2+1 | 2. Kat | 90 m²
31.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/mislife-tan-guzeltepe-metro-1-dk-kadin-ogrenciye-2-kat-21-85-m2-18618159
2025-12-14 21:36:06,35.000 TL,35.0,0.58,Küçükçekmece - İstasyon Mahallesi,,Küçükçekmece - İstasyon Mahallesi,1+1,60,60,5,"YENİ
Halkalı Divan Residence Havuz Göl Manzaral Tadilatlı Bakımlı 1+1
Küçükçekmece - İstasyon Mahallesi
Daire | 1+1 | 5. Kat | 60 m²
35.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/halkali-divan-residence-havuz-gol-manzaral-tadilatli-bakimli-11-18618062
2025-12-14 21:36:06,67.000 TL,67.0,0.43,Küçükçekmece - Halkalı Merkez Mahallesi,,Küçükçekmece - Halkalı Merkez Mahallesi,3+1,155,155,7,"YENİ
Halkalı Merkez Mah. Hayat Park Sitesi Boş Bakımlı Kiralık 3+1
Küçükçekmece - Halkalı Merkez Mahallesi
Daire | 3+1 | 7. Kat | 155 m²
67.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/halkali-merkez-mah-hayat-park-sitesi-bos-bakimli-kiralik-31-18618060
2025-12-14 21:36:06,45.000 TL,45.0,0.33,Ümraniye - Mehmet Akif Mahallesi,,Ümraniye - Mehmet Akif Mahallesi,3+1,135,135,3,"YENİ
Elalmış Caddesine Yakın Kullanışlı 3 +1 Daire
Ümraniye - Mehmet Akif Mahallesi
Daire | 3+1 | 3. Kat | 135 m²
45.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/elalmis-caddesine-yakin-kullanisli-3-1-daire-18618055
2025-12-14 21:36:07,12.000 TL,12.0,0.13,Esenyurt - Çınar Mahallesi,,Esenyurt - Çınar Mahallesi,2+1,90,90,,"YENİ
Bağlarçeşmede Kirlık 2+1 Bahçe Katı
Esenyurt - Çınar Mahallesi
Daire | 2+1 | Bahçe katı | 90 m²
12.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/baglarcesmede-kirlik-21-bahce-kati-18618001
2025-12-14 21:36:07,35.000 TL,35.0,0.25,Maltepe - İdealtepe Mahallesi,,Maltepe - İdealtepe Mahallesi,3+1,139,139,4,"YENİ
Sahibinden Kiralik 0501"" 558 26 69 Ev İcin Eşimi Arayin Ev
Maltepe - İdealtepe Mahallesi
Daire | 3+1 | 4. Kat | 139 m²
35.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/sahibinden-kiralik-0501-558-26-69-ev-icin-esimi-arayin-ev-18617871
2025-12-14 21:36:07,32.000 TL,32.0,0.36,Esenyurt - Akevler Mahallesi,,Esenyurt - Akevler Mahallesi,2+1,90,90,15,"YENİ
Regnum Kiralık 2+1 Büyük Teraslı Eşyalı Yüksek Kat Daire
Esenyurt - Akevler Mahallesi
Daire | 2+1 | 15. Kat | 90 m²
32.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/regnum-kiralik-21-buyuk-terasli-esyali-yuksek-kat-daire-18617682
2025-12-14 21:36:07,20.000 TL,20.0,0.27,Sultangazi - Esentepe Mahallesi,,Sultangazi - Esentepe Mahallesi,1+1,75,75,1,"YENİ
Zafer Yapı Gayrimenkulden Kiralık Daire 1.kat 1+1 75m2 Balkonlu İstanbul Sultangazi Esentepe Mahde
Sultangazi - Esentepe Mahallesi
Daire | 1+1 | 1. Kat | 76 m²
20.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/zafer-yapi-gayrimenkulden-kiralik-daire-1-kat-11-75m2-balkonlu-istanbul-sultangazi-esentepe-mahde-18617663
2025-12-14 21:36:08,18.000 TL,18.0,0.2,Bağcılar - Mahmutbey Mahallesi,,Bağcılar - Mahmutbey Mahallesi,2+1,90,90,Zemin,"YENİ
Mahmutbey'de Kiralık Daire 2+1 90 M2 Kombili Metroya Yakın
Bağcılar - Mahmutbey Mahallesi
Daire | 2+1 | Yüksek giriş | 110 m²
18.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/mahmutbey-de-kiralik-daire-21-90-m2-kombili-metroya-yakin-18617653
2025-12-14 21:36:08,35.500 TL,35.5,0.55,Kağıthane - Harmantepe Mahallesi,,Kağıthane - Harmantepe Mahallesi,1+1,65,65,2,"YENİ
Tuncay'dan Kağıthanede Yeni Bina Ful Lüks Sıfır Eşyalı 1+1 Daire
Kağıthane - Harmantepe Mahallesi
Daire | 1+1 | 2. Kat | 65 m²
35.500 TL
Telefona Bak",https://www.emlakjet.com/ilan/tuncay-dan-kagithanede-yeni-bina-ful-luks-sifir-esyali-11-daire-18617624
2025-12-14 21:36:08,170.000 TL,170.0,1.31,Beykoz - Acarlar Mahallesi,,Beykoz - Acarlar Mahallesi,3+1,130,130,2,"YENİ
Mesa Park Orman 2 De 3+1 Ara Katta Ön Cephe Boş Daire
Beykoz - Acarlar Mahallesi
Daire | 3+1 | 2. Kat | 130 m²
170.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/mesa-park-orman-2-de-31-ara-katta-on-cephe-bos-daire-18617597
2025-12-14 21:36:08,37.000 TL,37.0,0.39,Tuzla - İstasyon Mahallesi,,Tuzla - İstasyon Mahallesi,2+1,95,95,4,"YENİ
Tuzla Güzel Konumda Marmaray İstasyonu Yakını 2+1 Kiralık Daire
Tuzla - İstasyon Mahallesi
Daire | 2+1 | 4. Kat | 95 m²
37.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/tuzla-guzel-konumda-marmaray-istasyonu-yakini-21-kiralik-daire-18617569
2025-12-14 21:36:08,65.000 TL,65.0,0.58,Başakşehir - Bahçeşehir 1. Kısım Mahallesi,,Başakşehir - Bahçeşehir 1. Kısım Mahallesi,2+1,112,112,3,"YENİ
Bahçeşehir Eston Mahallem Sitesi Temiz Köşe 2+1 Kiralık Daire
Başakşehir - Bahçeşehir 1. Kısım Mahallesi
Daire | 2+1 | 3. Kat | 112 m²
65.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/bahcesehir-eston-mahallem-sitesi-temiz-kose-21-kiralik-daire-18617535
2025-12-14 21:36:09,53.000 TL,53.0,0.76,Beyoğlu - Cihangir Mahallesi,,Beyoğlu - Cihangir Mahallesi,1+1,70,70,5,"YENİ
R-one Cihangir Havyar Sokakta Yenilenmiş 1+1 Kiralık Daire-eng
Beyoğlu - Cihangir Mahallesi
Daire | 1+1 | 5. Kat | 70 m²
53.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/r-one-cihangir-havyar-sokakta-yenilenmis-11-kiralik-daire-eng-18617490
2025-12-14 21:36:09,100.000 TL,100.0,1.43,Beyoğlu - Hacımimi Mahallesi,,Beyoğlu - Hacımimi Mahallesi,1+1,70,70,2,"YENİ
Beyoglu Furnished House For Rent 1+1 With Balcony New Building
Beyoğlu - Hacımimi Mahallesi
Daire | 1+1 | 2. Kat | 70 m²
100.000 TL
Telefona Bak",https://www.emlakjet.com/ilan/beyoglu-furnished-house-for-rent-11-with-balcony-new-building-18617489
